Amount,Date,Manufacturer,Material,Recycled %,SOURCE,Subcontractor,Supplier,Unit
,,NA,,NA,Water,NA,,m3
19.02,2018-12-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0.41,2018-11-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
227.74,2018-11-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
25.3,2018-10-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
206.79,2018-10-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
22.95,2018-09-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
118.64,2018-09-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
10.7,2018-08-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
75.46,2018-08-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
27.93,2018-07-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
80.56,2018-07-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-06-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
24.23,2018-06-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
78.28,2018-06-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-05-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
24.87,2018-05-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
63.64,2018-05-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-04-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
7.97,2018-04-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
34.41,2018-04-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-03-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.45,2018-03-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
95.63,2018-03-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-02-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
3.34,2018-02-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
62.5,2018-02-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-01-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.11,2018-01-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
72,2018-01-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-12-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
4.58,2017-12-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
57.17,2017-12-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
